Corpus,System,Pair,Contextual,Features,Merged,AllMinPairs,BetweenMinPairs,WithinMinPairs,AllEntropy,WithinEntropy,SegEntropy,BiphoneEntropy,HiSegTok,LoSegTok,HiSegType,LoSegType
Fr,F_VV,ao,0,1,Unmerged,729,424,305,0.000827754,0.000658671,0.013236091,0.012417203,0.083390207,0.014663427,0.081367951,0.030247487
Fr,F_VV,a@,0,1,Unmerged,2312,629,1683,0.007572838,0.007339121,0.021165567,0.016789615,0.083390207,0.030483285,0.081367951,0.035371287
Fr,F_VV,iy,0,1,Unmerged,480,254,226,0.003219594,0.003013216,0.013952456,0.013331233,0.052750303,0.020645782,0.066396718,0.01871544
Fr,F_VV,i5,0,1,Unmerged,261,147,114,0.000822285,0.000688883,0.007347856,0.004371867,0.052750303,0.007657572,0.066396718,0.010541427
Fr,F_VV,iu,0,1,Unmerged,534,227,307,0.000603282,0.000445059,0.01508383,0.014294763,0.052750303,0.023542534,0.066396718,0.012746536
Fr,F_VV,y2,0,1,Unmerged,54,32,22,0.001072208,0.000989938,0.002086198,0.001510444,0.020645782,0.001901214,0.01871544,0.004074414
Fr,F_VV,y9,0,1,Unmerged,91,40,51,0.000168269,4.89E-05,0.01015562,0.009337005,0.025520822,0.020645782,0.01871544,0.018105397
Fr,F_VV,yu,0,1,Unmerged,302,158,144,0.000552132,0.0002718,0.00976901,0.008189219,0.023542534,0.020645782,0.01871544,0.012746536
Fr,F_VV,Oo,0,1,Unmerged,194,55,139,6.68E-05,6.03E-05,0.004422231,0.005162024,0.014663427,0.007170677,0.030247487,0.012827688
Fr,F_VV,O2,0,1,Merged,8,4,4,9.56E-06,9.12E-06,0.001490086,0.001032069,0.007170677,0.001901214,0.012827688,0.004074414
Fr,F_VV,O9,0,1,Merged,49,25,24,0.000273095,0.000203754,0.005502378,0.005999975,0.025520822,0.007170677,0.018105397,0.012827688
Fr,F_VV,O6,0,1,Unmerged,45,20,25,1.97E-05,1.72E-05,0.00616217,0.0028149,0.035176378,0.007170677,0.025336363,0.012827688
Fr,F_VV,o2,0,1,Unmerged,96,51,45,0.00015543,0.0001058,0.001888721,0.001373472,0.014663427,0.001901214,0.030247487,0.004074414
Fr,F_VV,o6,0,1,Unmerged,243,150,93,0.000302942,0.000201581,0.009661165,0.006070807,0.035176378,0.014663427,0.030247487,0.025336363
Fr,F_VV,ou,0,1,Unmerged,310,153,157,0.000768839,0.000649597,0.008139598,0.007610598,0.023542534,0.014663427,0.030247487,0.012746536
Fr,F_VV,29,0,1,Merged,43,13,30,5.05E-05,4.85E-05,0.002210071,0.001560444,0.025520822,0.001901214,0.018105397,0.004074414
Fr,F_VV,51,0,1,Merged,6,3,3,3.78E-06,3.39E-07,9.95E-05,8.05E-05,0.007657572,5.19E-05,0.010541427,0.000128725
Fr,F_VV,5@,0,1,Unmerged,375,210,165,0.000811758,0.000657904,0.006119299,0.005198185,0.030483285,0.007657572,0.035371287,0.010541427
Fr,F_VV,16,0,1,Unmerged,4,3,1,1.02E-06,2.72E-08,0.000124761,0.000131674,0.035176378,5.19E-05,0.025336363,0.000128725
Fr,F_VV,@6,0,1,Unmerged,1961,603,1358,0.005120856,0.004963816,0.01450729,0.010161878,0.035176378,0.030483285,0.035371287,0.025336363
Ge,G_VV,eE,0,1,Unmerged,86,28,58,0.000239162,6.22E-05,0.009185195,0.008913117,0.030771811,0.0162479,0.033436606,0.014517395
Ge,G_VV,ei,0,1,Unmerged,226,81,145,0.000592917,0.000476844,0.007681825,0.008684518,0.020715073,0.0162479,0.024462393,0.014517395
Ge,G_VV,eT,0,1,Unmerged,76,32,44,9.79E-05,4.70E-05,0.002232305,0.002319431,0.0162479,0.002502138,0.014517395,0.002479662
Ge,G_VV,eA,0,1,Merged,119,40,79,0.000108644,8.46E-05,0.002849034,0.003260637,0.0162479,0.003602526,0.014517395,0.004349116
Ge,G_VV,eW,0,1,Unmerged,150,77,73,0.000265057,0.000147737,0.007326622,0.00643758,0.018764144,0.0162479,0.016506117,0.014517395
Ge,G_VV,EI,0,1,Unmerged,387,169,218,0.000579307,0.000305571,0.014279973,0.013842312,0.037723912,0.030771811,0.034130024,0.033436606
Ge,G_VV,EL,0,1,Unmerged,33,7,26,0.000153729,0.000120794,0.002066562,0.002093154,0.030771811,0.001751243,0.033436606,0.001252313
Ge,G_VV,EU,0,1,Unmerged,212,101,111,0.000256965,0.000110939,0.009585037,0.009494926,0.030771811,0.017519254,0.033436606,0.018869285
Ge,G_VV,iu,0,1,Unmerged,120,53,67,0.000143805,7.41E-05,0.006117202,0.006241469,0.020715073,0.010733661,0.024462393,0.01004069
Ge,G_VV,iy,0,1,Unmerged,114,51,63,0.000145369,8.72E-05,0.004037728,0.003348925,0.020715073,0.005409459,0.024462393,0.005410046
Ge,G_VV,iW,0,1,Unmerged,327,168,159,0.000864233,0.000362227,0.008277732,0.008322774,0.020715073,0.018764144,0.024462393,0.016506117
Ge,G_VV,iX,0,1,Unmerged,72,37,35,0.000127407,4.20E-05,0.003199125,0.003077468,0.020715073,0.003791378,0.024462393,0.003500373
Ge,G_VV,iI,0,1,Unmerged,100,56,44,0.000128195,6.77E-05,0.011513684,0.011023469,0.037723912,0.020715073,0.034130024,0.024462393
Ge,G_VV,ao,0,1,Unmerged,196,96,100,0.000580917,0.00017409,0.00798786,0.008493599,0.023223135,0.015823984,0.016648961,0.016581006
